topic_id,term0,term1,term2,term3,term4,term5,term6,term7,term8,term9
0,stortinget,fremskrittspartiet,regjeringen,sv,gjelder,forslag,skolen,mte,representanten,kommunene
1,arbeiderpartiet,arbeidslivet,arbeid,jobb,gjelder,arbeidsliv,fremskrittspartiet,representanten,tiltak,tror
2,arbeiderpartiet,representanten,regjeringen,arbeidet,sv,arbeidslivet,arbeidarpartiet,gjelder,vet,fremskrittspartiet
3,land,norge,landbruk,landbruket,landene,verden,landet,bistand,fn,noreg
4,regjeringen,penger,fremskrittspartiet,representanten,privatskoler,gjelder,tror,sagt,kommunene,elevene
5,statsrden,takker,sprsml,svaret,statsministeren,statoil,saken,svar,stille,enig
6,befolkningen,sv,mattilsynet,nsker,statsrden,fremskrittspartiet,norge,senterpartiet,forhold,stortinget
7,barn,barnevernet,barna,barnet,foreldrene,barns,unge,foreldre,fosterhjem,far
8,vegne,representantene,forslag,fremme,representantforslag,gleden,glede,framsette,yvind,audun
9,milliarder,kr,milliardar,bompenger,mill,senterpartiet,statsrden,skulen,milliard,representanten
10,afghanistan,irak,militre,saddam,krig,hussein,fn,internasjonale,soldater,usa
11,gasskraftverk,industrien,gass,industri,co2,krst,energi,co2rensing,norge,regjeringen
12,studenter,studentene,utdanning,hyere,minoritetssprklige,eksamen,utlandet,universitetet,forskning,universiteter
13,statsrden,industrien,industri,drive,lsdrift,sprsml,selge,dgn,sauekjtt,takker
14,signal,signaler,statsrden,telenor,domstolene,sverige,selskapet,aksjene,forhold,sender
15,politiet,justisministeren,statsrden,politidirektoratet,sprsml,svaret,kripos,oslo,politiets,streng
16,norge,energi,noreg,samfunnskunnskap,kraft,produksjon,introduksjonsloven,regjeringen,landet,satse
17,nsker,stille,flgende,statsrden,sprsml,estetiske,skjlaaen,vedkommende,sak,innlegg
18,finansministeren,finansiering,offentlig,privat,valutaskatt,maskinar,regjeringen,konomi,opsprosjekter,finansnringen
19,atomvpen,nrk,politiske,politiet,politisk,politikk,norge,politikken,land,musikk
20,kunst,kultur,akks,museene,kunstnere,musikk,statsrden,film,fremskrittspartiet,kulturpolitikken
21,barn,barnehager,barnehagene,barna,statsrden,makspris,barnehageplasser,modenhet,godkjenningsordning,maksprisen
22,statsrden,statsministeren,rv,stortinget,skadd,skolen,vernepolitikk,sommer,tfo,saken
23,motsegner,transportplan,nasjonal,jernbanen,jernbane,gods,kabotasje,transport,kr,talet
24,bank,norges,banker,forvaltningen,banken,sentralbanksjefen,finansministeren,finansinstitusjonene,eosutvalget,bankene
25,sokkel,olje,gass,felt,fjordane,sogn,prosjektet,petroleumstilsynet,verdiskaping,petroleumsvirksomhet
26,fly,gardermoen,flyktninger,flyplassen,flytrafikken,lederskap,ytringer,samferdselsministeren,flyplasser,omfanget
27,etiopia,presidentskapet,presidenten,president,stortingsrepresentantar,gjeld,pass,innbyggjarane,stortingets,vedtak
28,transport,pengar,statsrden,senterpartiet,samferdselsministeren,sprsml,roste,ops,framstegspartiet,transportplan
29,rehabilitering,pasienter,behandling,pasientene,ventetid,samhandlingsreformen,helseministeren,tilbud,rehabiliteringstilbud,private
30,president,presidenten,forkjempere,spanskekongen,nan,unnskyldt,replikker,muren,voteringen,votering
31,religion,bnnerop,muslimske,menneskerettighetene,christian,tybringgjedde,muslimer,norge,journalister,mennesker
32,statsrden,sprsmlet,statsministeren,hyesterett,statskog,svaret,tror,svare,stilte,restad
33,representanten,lundteigen,barnevernet,smutthull,olavsvern,nordahl,sv,organisasjonar,anbefaling,sponheim
34,nato,usa,natos,syria,atomvpen,tryggingsrdet,irak,fn,operasjoner,angrep
35,kristelig,folkeparti,folk,esavtalen,skattelette,farsund,skattefunn,handlar,sv,integrering
36,bergen,bybane,hurtigruta,bybanen,hgre,anbud,busser,folk,kollektivfelt,saken
37,palestinsk,israel,palestinske,hamas,storberget,palestinerne,israelske,stat,dsb,deltidsmannskaper
38,dab,borgarane,radioen,forslagene,statsrden,datalagringsdirektivet,vannkraft,omrdesatsingene,skjnner,tillit
39,kyotoavtalen,gasskraftverk,kyotoforpliktelsene,krst,co2rensing,kyotoprotokollen,fremskrittspartiet,tonn,tenkt,elektrisitet
40,land,eu,miljvernminister,produsere,norge,brge,vassdrag,brende,landet,donorsykehus
41,ministeren,lokalsykehus,narvik,kampanjer,akutt,sprsml,vurdere,tak,tferdsproblem,sikkerheitshol
42,leder,utenrikskomiteens,miljpartiet,ledig,alvor,kompetansen,permittert,klimakrisen,grnne,kvotesystemet
43,nordisk,nordiske,samarbeid,samarbeidet,rd,nordnorge,vpen,norge,villaksen,kjemiske
44,stemme,nr,stemmer,forslag,anbefale,kap,svs,post,stemmeforklaring,fremskrittspartiets
45,helseministeren,rede,helseminister,sykehus,valet,stille,nedleggelse,flgende,sprsml,akershus
46,regjeringen,dialog,storbypolitikerne,ordlyden,avgiften,bransjen,nringene,vindkraftbransjen,engangslsningen,stttesystemet
47,kap,gabrielsen,satsing,barnehagar,realfag,studieplasser,1760,styrkar,210,ansgar
48,selskapsskatten,kommunene,sortevik,veterinre,misbruket,hovedkontor,avtale,ute,landet,materiell
